rank_by_return,strategy_name,rsi_period,rsi_buy,rsi_sell,rsi_buy_period,rsi_sell_period,rsi_oversold,rsi_recovery_delta,bias_period,bias_buy,bias_sell,bias_fast_period,bias_fast_buy,bias_slow_period,bias_slow_sell,bias_cross_threshold,bb_period,bb_std,bb_width_threshold,trailing_stop_pct,consecutive_days,total_return_pct,annualized_return_pct,max_drawdown_pct,win_rate_pct,wins,losses,total_trades,profit_factor,sharpe,buy_hold_return_pct,backtest_start,backtest_end,trading_days
182,MT-BIAS buy=BIAS(5)<=-10% sell=BIAS(20)>=7%,,,,,,,,,,,5,-10,20,7,,,,,,,89.98,11.15,-28.37,100.0,5,0,10,999,0.5993,1083.5,2020-01-02,2026-04-28,1530
183,MT-BIAS buy=BIAS(3)<=-10% sell=BIAS(20)>=5%,,,,,,,,,,,3,-10,20,5,,,,,,,89.67,11.12,-20.94,100.0,3,0,6,999,0.7366,1083.5,2020-01-02,2026-04-28,1530
184,MT-BIAS buy=BIAS(3)<=-10% sell=BIAS(20)>=3%,,,,,,,,,,,3,-10,20,3,,,,,,,88.4,11.0,-20.95,100.0,3,0,6,999,0.7314,1083.5,2020-01-02,2026-04-28,1530
185,"TrailStop(10%) RSI(14,30,75)",14,30,75,,,,,,,,,,,,,,,,10,,88.34,10.99,-44.37,53.33,16,14,60,1.72,0.5348,1083.5,2020-01-02,2026-04-28,1530
186,RSI-recovery(14) os<30 delta>=15 sell>70,14,,70,,,30,15,,,,,,,,,,,,,,86.69,10.83,-42.16,86.67,13,2,30,2.5,0.6223,1083.5,2020-01-02,2026-04-28,1530
187,"ConsecDays(2) RSI(14,40,70)",14,40,70,,,,,,,,,,,,,,,,,2,86.17,10.78,-46.99,68.18,15,7,44,2.04,0.4873,1083.5,2020-01-02,2026-04-28,1530
188,AsymRSI buy=RSI(7)<25 sell=RSI(14)>75,,25,75,7,14,,,,,,,,,,,,,,,,85.62,10.72,-49.42,76.19,16,5,42,1.82,0.4729,1083.5,2020-01-02,2026-04-28,1530
189,AsymRSI buy=RSI(7)<30 sell=RSI(14)>75,,30,75,7,14,,,,,,,,,,,,,,,,85.6,10.72,-54.05,73.91,17,6,46,1.87,0.4672,1083.5,2020-01-02,2026-04-28,1530
190,"TrailStop(10%) RSI(14,35,65)",14,35,65,,,,,,,,,,,,,,,,10,,85.19,10.68,-46.59,56.76,21,16,74,1.67,0.5252,1083.5,2020-01-02,2026-04-28,1530
191,MT-BIAS buy=BIAS(7)<=-3% sell=BIAS(15)>=7%,,,,,,,,,,,7,-3,15,7,,,,,,,84.61,10.62,-48.81,69.57,16,7,46,1.82,0.4675,1083.5,2020-01-02,2026-04-28,1530
192,MT-BIAS buy=BIAS(3)<=-7% sell=BIAS(15)>=3%,,,,,,,,,,,3,-7,15,3,,,,,,,83.61,10.53,-22.98,100.0,7,0,14,999,0.5825,1083.5,2020-01-02,2026-04-28,1530
193,MT-BIAS buy=BIAS(5)<=-3% sell=BIAS(15)>=7%,,,,,,,,,,,5,-3,15,7,,,,,,,82.59,10.42,-48.93,70.83,17,7,48,1.83,0.4608,1083.5,2020-01-02,2026-04-28,1530
194,AsymRSI buy=RSI(10)<30 sell=RSI(28)>65,,30,65,10,28,,,,,,,,,,,,,,,,82.12,10.38,-48.2,76.47,13,4,34,2.42,0.4687,1083.5,2020-01-02,2026-04-28,1530
195,"TrailStop(8%) RSI(14,30,70)",14,30,70,,,,,,,,,,,,,,,,8,,82.0,10.37,-43.64,59.38,19,13,64,1.67,0.5262,1083.5,2020-01-02,2026-04-28,1530
196,"TrailStop(5%) RSI(14,30,70)",14,30,70,,,,,,,,,,,,,,,,5,,81.9,10.36,-31.33,48.57,17,18,70,1.74,0.5449,1083.5,2020-01-02,2026-04-28,1530
197,MT-BIAS buy=BIAS(5)<=-3% sell=BIAS(20)>=7%,,,,,,,,,,,5,-3,20,7,,,,,,,81.76,10.34,-51.62,78.26,18,5,46,1.76,0.4586,1083.5,2020-01-02,2026-04-28,1530
198,AsymRSI buy=RSI(10)<25 sell=RSI(28)>70,,25,70,10,28,,,,,,,,,,,,,,,,81.44,10.31,-44.65,66.67,8,4,24,2.59,0.4763,1083.5,2020-01-02,2026-04-28,1530
199,AsymRSI buy=RSI(5)<25 sell=RSI(14)>70,,25,70,5,14,,,,,,,,,,,,,,,,79.62,10.13,-48.52,78.79,26,7,66,1.78,0.4533,1083.5,2020-01-02,2026-04-28,1530
200,AsymRSI buy=RSI(5)<30 sell=RSI(14)>65,,30,65,5,14,,,,,,,,,,,,,,,,79.36,10.1,-46.93,81.4,35,8,86,1.79,0.4534,1083.5,2020-01-02,2026-04-28,1530
201,"TrailStop(10%) RSI(14,35,70)",14,35,70,,,,,,,,,,,,,,,,10,,78.94,10.06,-46.59,52.78,19,17,72,1.63,0.4945,1083.5,2020-01-02,2026-04-28,1530
202,MT-BIAS buy=BIAS(7)<=-10% sell=BIAS(30)>=10%,,,,,,,,,,,7,-10,30,10,,,,,,,78.8,10.04,-40.25,100.0,5,0,10,999,0.4845,1083.5,2020-01-02,2026-04-28,1530
203,MT-BIAS buy=BIAS(5)<=-10% sell=BIAS(30)>=3%,,,,,,,,,,,5,-10,30,3,,,,,,,78.76,10.04,-28.37,100.0,5,0,10,999,0.5899,1083.5,2020-01-02,2026-04-28,1530
204,MT-BIAS buy=BIAS(3)<=-10% sell=BIAS(15)>=7%,,,,,,,,,,,3,-10,15,7,,,,,,,78.72,10.04,-20.57,100.0,3,0,6,999,0.6801,1083.5,2020-01-02,2026-04-28,1530
205,MT-BIAS buy=BIAS(3)<=-10% sell=BIAS(15)>=3%,,,,,,,,,,,3,-10,15,3,,,,,,,77.55,9.92,-20.57,100.0,3,0,6,999,0.6739,1083.5,2020-01-02,2026-04-28,1530
